Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Average
715,,-0.88,,-1.16,1.92,0.12,1.03,-0.69,,,0.69,-0.50,0.45,1.79,0.24,-0.02,0.55,-0.79,0.40,0.06,-0.31,0.99,-0.13,0.20
705,,-1.85,,-3.87,-0.09,-0.41,1.92,0.18,,,0.47,0.78,0.13,0.65,-1.21,-0.33,0.64,-0.54,-0.35,-0.22,-1.43,1.20,0.47,-0.20
695,,-1.47,,-0.85,2.63,0.47,1.24,-0.91,,,0.39,0.58,0.38,-1.19,-0.21,-0.26,0.73,-0.63,-0.68,-1.49,0.39,2.19,-0.32,0.05
685,,-1.09,,-2.94,2.06,-0.28,-0.74,-0.67,,,0.32,-1.55,0.28,0.20,-2.27,-1.28,0.53,-0.69,-0.75,-0.03,-1.74,-0.18,-0.97,-0.62
675,,-0.78,,-4.60,3.38,-0.18,-0.99,0.09,,,0.43,-0.16,-1.26,-0.69,0.42,0.74,0.82,-0.25,-0.79,0.20,-1.38,0.93,-0.24,-0.23
665,,-0.47,,-2.34,0.90,-0.98,-0.03,0.10,,,0.32,0.29,2.26,0.69,0.06,-0.43,-0.45,-1.08,0.50,-0.47,-0.64,0.37,-0.44,-0.10
655,,-0.86,,-1.13,-1.08,-1.03,0.65,0.58,,,1.21,0.56,1.80,2.09,0.14,-0.09,-0.61,-0.77,-0.01,0.75,-1.13,0.43,0.22,0.09
645,,-0.95,,-0.61,-0.42,-0.37,-1.19,0.03,,,1.18,-1.45,1.28,0.16,-0.75,-0.77,-0.02,-0.11,1.00,0.14,-0.31,-1.86,-0.45,-0.29
635,,-0.95,,1.33,-0.17,0.39,1.03,1.39,,,1.14,-0.11,-0.34,2.06,-0.37,1.05,0.31,0.19,0.78,1.13,0.08,-1.53,-0.74,0.35
625,,-0.95,,2.36,-0.62,0.06,2.02,0.88,,,1.44,-0.77,0.29,-0.67,-0.38,0.27,-1.78,-0.57,0.21,-0.11,0.24,-0.87,-0.30,0.04
615,,-1.25,,1.17,0.38,1.27,-0.61,0.21,,,1.06,-1.69,0.63,-0.43,-0.21,0.50,-0.06,-0.93,0.11,-1.05,-0.04,1.01,0.30,0.02
605,,-1.56,,-2.04,1.61,-0.50,0.60,0.37,,,1.21,0.45,0.20,0.42,1.30,-0.22,-0.94,0.23,0.69,-0.98,-1.30,0.56,1.25,0.07
595,,-2.65,,-3.32,1.60,0.83,1.78,-0.80,,,1.31,0.91,1.12,0.45,0.22,0.18,-0.22,-0.06,0.30,1.19,-0.04,0.64,1.68,0.27
585,,-2.12,,-4.18,1.04,0.60,0.15,0.54,,,1.40,1.29,0.46,-0.25,0.37,-0.73,-0.08,-0.70,0.77,0.17,-1.58,0.27,2.29,-0.02
575,,-1.60,,-2.35,0.13,2.01,1.48,0.75,,,1.25,-0.88,0.85,0.42,-1.05,-0.05,-0.06,-0.80,0.92,0.52,0.21,-1.67,1.52,0.08
565,,-1.07,,-2.44,1.48,0.27,2.16,1.12,,,1.47,0.35,-0.23,-1.56,1.82,1.61,-0.04,-0.83,0.25,0.40,0.90,0.11,0.95,0.36
555,,-1.21,,-0.83,2.71,1.18,1.65,0.13,,,1.51,2.82,2.64,2.56,2.69,1.12,-0.02,-1.62,0.89,-0.59,1.26,0.86,-0.81,0.89
545,,-1.19,,-0.66,1.61,-0.56,2.17,-0.11,,,1.53,1.06,1.84,1.98,,1.02,-0.86,-2.53,1.53,0.56,0.46,-1.50,-2.05,0.24
535,,-1.18,,-1.07,1.70,-0.22,1.98,-0.25,,,1.55,-2.17,-1.50,-0.68,,0.43,-0.54,-0.31,1.57,-0.80,-2.10,-0.57,-0.98,-0.28
525,,-1.06,,-1.71,1.04,-0.14,0.39,-0.10,,,1.88,0.53,0.05,-0.36,,-0.05,2.79,-0.74,1.96,0.68,0.14,0.06,-0.21,0.29
515,,-0.79,,-1.66,0.70,0.31,-0.26,0.27,,,2.14,0.69,1.39,-0.56,,0.59,0.63,-0.11,2.35,-0.41,-0.77,1.48,-1.27,0.26
505,,-0.52,,-0.71,1.28,0.51,-0.40,0.74,,,1.92,0.99,-0.77,-1.38,,1.23,0.58,0.54,2.06,0.43,-0.64,-0.55,-1.58,0.21
495,,0.26,,-0.04,1.50,0.49,1.77,1.25,,,1.83,0.21,0.10,-1.27,,1.37,0.67,1.75,0.30,0.36,0.29,-1.07,-1.13,0.48
485,,0.42,,-2.74,2.24,0.49,1.51,2.42,,,1.73,-0.20,-1.62,0.02,,-0.69,0.59,-0.07,0.64,0.02,0.69,-0.71,0.86,0.31
475,,0.83,,-2.34,-0.56,0.35,0.88,-0.07,,,1.51,0.43,-1.08,-1.92,,-1.80,-0.14,-0.63,0.43,0.22,-0.58,0.72,-0.30,-0.22
465,,1.23,,-2.21,-1.32,-0.41,1.05,0.34,,,1.55,-0.41,1.10,-0.53,,-0.62,-0.65,-0.85,0.89,0.21,-0.10,0.60,-0.21,-0.02
455,,1.10,,,1.01,0.88,1.14,-1.26,,,1.57,2.40,1.10,1.55,,1.48,-0.48,1.37,1.06,-1.25,-0.66,0.25,2.25,0.79
445,,0.96,,,1.99,0.04,1.80,-0.28,,,1.59,0.77,-0.59,-1.89,,0.31,0.72,1.19,0.12,-0.16,-1.58,-1.05,1.23,0.30
435,,-0.05,,,1.96,0.01,1.62,0.37,,,1.47,0.65,-0.54,2.38,,1.63,0.71,1.34,0.27,1.08,-2.89,0.07,0.80,0.64
425,,0.66,,,1.81,0.34,0.42,1.09,,,1.51,0.64,-0.96,-0.38,,1.41,0.70,1.01,2.75,-0.30,0.36,-2.24,0.71,0.56
415,,0.00,,,2.04,-0.32,1.94,1.73,,,2.33,1.76,2.42,1.06,,2.74,0.19,0.50,0.72,-0.08,-0.43,-0.83,1.22,1.00
405,,-0.66,,,0.77,1.20,1.15,-0.48,,,2.61,1.87,1.87,0.54,,1.51,0.47,3.16,0.64,0.72,-0.23,0.31,0.86,0.96
395,,0.19,,,-0.69,0.83,1.27,-0.80,,,2.89,0.36,0.65,2.05,,0.93,-0.14,0.67,1.93,0.92,-1.25,1.00,1.10,0.70
385,,1.03,,,-0.22,1.87,1.10,0.47,,,2.55,1.42,2.82,-0.91,,0.21,-0.74,-0.34,2.62,-0.56,-1.28,0.02,0.39,0.62
375,,1.88,,,1.31,0.75,0.95,-1.03,,,1.18,1.05,1.66,3.44,,0.50,1.84,0.13,1.28,-0.42,0.51,2.02,0.42,1.03
365,,2.17,,,1.40,0.76,0.33,-0.36,,,1.29,0.45,-0.64,1.69,,-0.08,-0.09,-0.28,1.33,1.11,0.47,1.62,0.95,0.71
355,,0.92,,,2.35,0.22,2.27,0.28,,,1.42,-1.42,-0.31,0.84,,-0.14,0.58,-0.44,0.98,0.47,-0.67,0.28,-1.06,0.39
345,,0.75,,,0.99,0.53,1.23,-0.36,,,1.55,0.46,-1.33,-0.08,,0.56,0.57,-1.58,1.53,0.06,-1.71,-1.29,-0.37,0.09
335,,0.59,,,1.56,3.78,1.24,-0.21,,,0.80,2.92,0.16,-1.42,,0.97,0.67,-0.74,0.43,0.89,0.10,-1.30,-0.40,0.59
325,,0.42,,,1.49,1.44,0.51,-1.14,,,1.29,0.99,-0.24,0.85,,1.35,0.77,-0.73,1.56,0.68,0.75,-1.03,0.43,0.55
315,,2.15,,,-0.23,-0.94,1.32,0.43,,,1.92,0.79,-0.13,0.28,,-0.79,1.58,-1.17,0.11,-0.09,1.18,-1.04,1.11,0.38
305,,1.42,,,0.86,1.09,0.45,-0.54,,,1.44,0.76,0.80,-1.07,,-1.03,0.52,-1.54,0.14,-0.16,0.50,-0.65,0.31,0.19
295,,2.08,,,0.79,-0.48,2.02,0.76,,,0.95,2.25,-1.06,-0.11,,2.00,1.19,0.23,-0.04,-0.66,-0.26,-0.53,1.01,0.60
285,,1.68,,,0.14,0.10,1.67,0.26,,,0.73,0.37,-0.42,0.78,,0.65,0.97,0.32,-0.51,0.19,-0.20,1.20,2.41,0.61
275,,1.27,,,1.27,-0.34,0.34,0.50,,,0.84,1.96,1.09,0.20,,-1.05,0.74,-1.79,-0.22,0.75,-0.54,-0.20,1.96,0.40
265,,0.87,,,1.23,0.16,0.28,1.22,,,0.62,0.80,1.01,0.87,,-0.09,0.22,-0.86,-0.32,0.33,1.11,2.31,0.73,0.62
255,,1.68,,,-0.68,1.00,0.70,0.90,,,1.06,2.50,0.46,0.64,,0.79,0.19,-0.28,-0.46,0.69,-0.08,1.55,2.11,0.75
245,,0.87,,,1.57,1.60,1.12,-1.06,,,1.51,2.17,-0.98,1.15,,-0.71,1.98,-0.17,-0.36,0.40,-0.05,3.00,1.55,0.80
235,,0.90,,,2.46,0.89,0.64,0.21,,,1.85,1.18,-1.38,0.18,,0.15,1.01,-1.25,-0.01,0.52,0.37,0.98,-0.67,0.47
225,,0.74,,,2.72,0.07,-0.11,1.20,,,2.22,0.92,-0.46,-0.28,,-1.47,1.22,-0.27,-0.49,0.52,-0.71,-0.09,-0.33,0.32
215,,0.57,,,1.02,1.41,0.34,0.08,,,3.11,-0.34,0.19,-0.43,,-0.39,0.75,0.66,-0.68,1.29,-0.13,-0.19,-1.55,0.34
205,,0.40,,,1.75,0.04,1.32,0.79,,,3.09,0.49,-0.02,-1.43,,-0.33,0.28,0.36,-0.27,1.14,0.90,0.35,-1.82,0.41
195,,0.23,,,1.64,0.26,1.25,-0.98,,,3.07,1.72,-0.10,0.25,,0.90,1.67,0.51,-0.17,1.60,0.62,-0.94,-1.50,0.59
185,,0.68,,,0.80,0.59,1.07,0.40,,,2.63,0.91,0.03,1.41,,-1.29,0.54,0.86,-0.29,1.33,0.03,-0.82,-1.62,0.43
175,,1.29,,,0.74,-0.38,-0.03,0.35,,,3.45,1.00,2.01,0.25,,0.80,1.02,0.29,-0.46,1.35,-0.62,-1.84,-1.07,0.48
165,,1.90,,,1.14,0.12,-0.64,-0.05,,,4.34,0.66,-1.88,-0.72,,1.40,0.59,0.51,-0.13,1.15,-2.31,-1.18,-0.13,0.28
155,,2.52,,,1.31,-0.48,0.94,-0.20,,,4.28,0.17,0.53,-1.48,,0.21,0.16,-0.06,0.52,0.95,-1.79,-0.72,0.61,0.44
145,,0.51,,,1.33,-0.14,2.21,0.33,,,4.23,2.23,1.30,0.56,,0.24,1.82,1.12,0.39,1.17,-0.85,-0.49,-0.36,0.92
135,,0.84,,,1.72,0.40,2.06,-0.82,,,4.34,2.22,1.29,0.98,,2.31,1.03,1.14,0.46,0.12,0.29,-0.45,-0.46,1.03
125,,1.16,,,0.93,5.91,0.72,-0.67,,,4.00,2.30,-1.08,0.70,,1.57,0.34,0.27,0.88,0.16,0.80,0.52,0.22,1.10
115,,1.84,,,0.73,0.62,0.54,0.14,,,3.86,0.18,1.87,0.18,,0.64,0.65,1.37,-0.06,-0.83,0.21,0.53,-1.06,0.67
105,,-0.27,,,2.68,-0.63,-0.57,-0.59,,,4.21,1.36,2.44,0.58,,-0.58,0.97,0.86,0.23,-0.27,0.51,0.57,-0.75,0.63
95,,-2.39,,,1.52,-0.10,-1.32,-1.17,,,4.56,1.05,-0.21,0.92,,-0.04,-0.16,0.78,0.37,0.69,-0.97,0.20,-0.23,0.21
85,,-1.52,,,1.55,0.16,1.49,0.71,,,5.12,1.31,1.87,0.95,,-1.78,0.79,0.08,0.24,-0.56,0.09,-0.49,0.93,0.64
75,,-1.14,,,0.46,1.05,2.89,-0.30,,,4.15,1.48,2.53,0.85,,1.93,0.35,0.14,0.33,0.60,-1.30,-0.53,0.07,0.80
65,,-0.56,,,3.55,4.52,0.29,-0.84,,,3.06,2.97,2.35,1.54,,0.60,0.38,0.11,0.63,0.09,-0.81,1.08,-0.90,1.06
55,,0.02,,,3.50,1.73,-1.82,-0.42,,,1.96,1.92,3.25,1.48,,0.81,-0.21,0.40,-0.40,1.20,-4.31,-1.08,-0.44,0.45
45,,0.60,,,0.90,-0.34,0.68,0.13,,,1.59,2.06,0.17,2.34,,0.45,0.68,0.74,-0.48,0.66,0.06,0.49,-1.33,0.55
35,,1.17,,,0.83,-0.64,1.89,-0.31,,,1.44,0.60,2.04,0.15,,1.45,-0.15,1.46,-0.04,-0.27,0.65,1.99,-1.73,0.62
25,,1.75,,,-1.02,0.16,2.52,0.25,,,1.10,1.38,-0.67,2.44,,-0.80,0.42,-0.11,0.02,-0.84,-0.31,0.00,-1.48,0.28
15,,2.92,,,2.27,0.59,-0.97,-0.11,,,0.97,2.66,-0.31,0.66,,2.42,3.12,-1.48,-0.32,0.18,0.52,-0.19,-1.15,0.69
5,,3.75,,,1.71,1.15,0.60,-0.31,,,0.84,9.23,1.21,0.72,,-0.56,0.30,0.70,-0.64,0.15,0.07,-0.41,-1.73,0.99
